Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,0.0104122382659312,-0.000436284149316699,0.159720035921335,0,0,0,182.853134027944,6.37825331945483,-0.000187113761173802,0.021743933720702,8.38289071903683,0.000316989241926604,13.0687370425121,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link0.STL,,base-1,cs0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0814594603212596,0.0817318639689374,0.141103027006894,0,0,0,3.87067297498901,0.0410273723729413,-1.85983676463918E-07,-0.0202339306154844,0.057950888393745,-7.84117801036474E-07,0.0176581278139567,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link1.STL,,link1-2,cs1,axis1,joint1,revolute,0.0816609901290144,-0.0829999999999976,0.663114033249865,0,0,0,link0,0,1,0,0,0,-1.57,2.53,,,,,,,,
link2,7.44740582758474E-05,0.0758390773220343,0.0175533635543539,0,0,0,8.42599645912695,0.0290085539548666,-4.19500755704763E-07,1.23862591195046E-05,0.0304894868816852,-0.000929382012979049,0.0238474152967183,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link2.STL,,link2-2,cs2,axis2,joint2,revolute,0.16,0,0.27712812921102,0,0,0,link1,0,1,0,0,0,-1.57,2.53,,,,,,,,
link3,0.000341762140184304,0.00025905261382181,0.269745938559906,0,0,0,11.7918241111248,0.0825939945374639,7.35841140176836E-06,0.00076320259751151,0.0675865070568481,0.000104823683245215,0.0396802343697935,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link3.STL,,link3-2,cs3,axis3,joint3,revolute,0,0.0829999999999978,0.1245,0,0,0,link2,0,0,-1,0,0,-2.617,2.617,,,,,,,,
link4,-4.51248392255021E-05,0.00632432234824245,0.0206233076609987,0,0,0,0.0789274695078393,5.2729081061557E-05,3.27960435697163E-08,-5.41806118346734E-08,2.82901758579967E-05,1.25307433938907E-05,3.83702228644709E-05,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link4.STL,,link4-2,cs4,axis4,joint4,revolute,0,0,0.4572,0,0,0,link3,0,0,-1,0,0,-0.785,0.785,,,,,,,,
link5,0.74150629784687,0.0347487579619967,-0.0529834718593738,0,0,0,1585.44407290557,251.044179791164,-0.000392694637355367,-18.770910470929,167.859052725688,-0.00058534103735853,206.303259400515,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link5.STL,,link5-1,cs5,axis5,joint5,revolute,0,-0.03475,0.05,0,0,0,link4,0,1,0,0,0,-2.49,2.49,,,,,,,,
link6l,0.00587990145632769,0.0938653454206217,0.000328810722309836,0,0,0,2.4279314897024,0.00384784195125447,-1.63745325195689E-05,2.47369026764267E-07,0.00354650963988974,-2.68795465205327E-07,0.00443469396242624,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link6l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link6l.STL,,link6l-1,cs6l,axis6l,joint6l,revolute,0,0.14,0.3872,0,0,0,link3,0,1,0,0,0,-3.14,1.57,,,,,,,,
link7l,-0.0601837379255343,0.0404679010415853,-0.000212497313905935,0,0,0,0.657981447275362,0.00160263316482934,3.73554341108548E-05,-3.15251516300316E-06,0.00203285703653358,1.31890898852949E-05,0.00221775540634984,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link7l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link7l.STL,,link7l-1,cs7l,axis7l,joint7l,revolute,0.0629999999998628,0.100000000000001,0,0,0,0,link6l,1,0,0,0,0,-0.052,2.97,,,,,,,,
link8l,-0.000742165594918742,0.00120981300959921,-0.138776014317827,0,0,0,1.70419338481899,0.00432655204965359,9.68789146965606E-07,6.20280609659349E-06,0.00406652870610826,4.93086067484409E-05,0.00196005502096946,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link8l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link8l.STL,,link8l-1,cs8l,axis8l,joint8l,revolute,-0.063,0.092,0,1.5708,0,0,link7l,0,0,-1,0,0,-2.49,2.49,,,,,,,,
link9l,7.39369387892097E-06,-0.0553648826598552,-0.0337589423071442,0,0,0,0.466829275810387,0.00110479762138874,6.03135582510723E-09,-4.48662779840174E-09,0.000792370325277344,4.11824028861372E-06,0.00093676870685203,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link9l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot urdf.10.8.SLDASM/meshes/link9l.STL,,link9-2,cs9l,axis9l,joint9l,revolute,0,0.055,-0.228,0,0,0,link8l,0,-1,0,0,0,-2,0.17,,,,,,,,
